section	model	plan	axis	accuracy	support	summary_score
turn_trend	scale-phi4-4b-base.tsv	ACTION_EDIT_DOCUMENT	turn_2	0.42857142857142855	14	-0.40476190476190477
turn_trend	scale-phi4-4b-base.tsv	ACTION_EDIT_DOCUMENT	turn_3	0.09375	32	-0.40476190476190477
turn_trend	scale-phi4-4b-base.tsv	ACTION_EDIT_DOCUMENT	turn_4	0.0	27	-0.40476190476190477
turn_trend	scale-phi4-4b-base.tsv	ACTION_EDIT_DOCUMENT	turn_5	0.023809523809523808	42	-0.40476190476190477
turn_trend	scale-phi4-4b-base.tsv	dial	turn_2	1.0	6	-0.42000000000000004
turn_trend	scale-phi4-4b-base.tsv	dial	turn_3	0.7	20	-0.42000000000000004
turn_trend	scale-phi4-4b-base.tsv	dial	turn_4	0.5277777777777778	36	-0.42000000000000004
turn_trend	scale-phi4-4b-base.tsv	dial	turn_5	0.58	50	-0.42000000000000004
turn_trend	scale-phi4-4b-base.tsv	play_video	turn_2	0.9375	16	-0.4592391304347826
turn_trend	scale-phi4-4b-base.tsv	play_video	turn_3	0.6052631578947368	38	-0.4592391304347826
turn_trend	scale-phi4-4b-base.tsv	play_video	turn_4	0.43333333333333335	30	-0.4592391304347826
turn_trend	scale-phi4-4b-base.tsv	play_video	turn_5	0.4782608695652174	46	-0.4592391304347826
turn_trend	scale-phi4-4b-base.tsv	ACTION_EDIT_VIDEO	turn_2	0.8181818181818182	22	-0.5681818181818182
turn_trend	scale-phi4-4b-base.tsv	ACTION_EDIT_VIDEO	turn_3	0.35	20	-0.5681818181818182
turn_trend	scale-phi4-4b-base.tsv	ACTION_EDIT_VIDEO	turn_4	0.38095238095238093	42	-0.5681818181818182
turn_trend	scale-phi4-4b-base.tsv	ACTION_EDIT_VIDEO	turn_5	0.25	20	-0.5681818181818182
turn_trend	scale-phi4-4b-base.tsv	ACTION_VIEW_CONTACT	turn_2	1.0	29	-0.6071428571428572
turn_trend	scale-phi4-4b-base.tsv	ACTION_VIEW_CONTACT	turn_3	0.4642857142857143	28	-0.6071428571428572
turn_trend	scale-phi4-4b-base.tsv	ACTION_VIEW_CONTACT	turn_4	0.3181818181818182	44	-0.6071428571428572
turn_trend	scale-phi4-4b-base.tsv	ACTION_VIEW_CONTACT	turn_5	0.39285714285714285	56	-0.6071428571428572
turn_trend	scale-phi4-4b-base.tsv	ACTION_SET_RINGTONE	turn_2	1.0	7	-0.65
turn_trend	scale-phi4-4b-base.tsv	ACTION_SET_RINGTONE	turn_3	0.8235294117647058	17	-0.65
turn_trend	scale-phi4-4b-base.tsv	ACTION_SET_RINGTONE	turn_4	0.8333333333333334	18	-0.65
turn_trend	scale-phi4-4b-base.tsv	ACTION_SET_RINGTONE	turn_5	0.35	20	-0.65
turn_trend	scale-phi4-4b-base.tsv	ACTION_VIEW_PLAYLIST	turn_2	1.0	7	-0.7037037037037037
turn_trend	scale-phi4-4b-base.tsv	ACTION_VIEW_PLAYLIST	turn_3	0.631578947368421	19	-0.7037037037037037
turn_trend	scale-phi4-4b-base.tsv	ACTION_VIEW_PLAYLIST	turn_4	0.6666666666666666	18	-0.7037037037037037
turn_trend	scale-phi4-4b-base.tsv	ACTION_VIEW_PLAYLIST	turn_5	0.2962962962962963	27	-0.7037037037037037
turn3_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_VIDEO_CAPTURE	complex_1	1.0	6	-0.16666666666666663
turn3_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_VIDEO_CAPTURE	nonNR	0.8333333333333334	6	-0.16666666666666663
turn3_bucket_offenders	scale-llama3-4b-base.tsv	ACTION_VIDEO_CAPTURE	complex_1	1.0	6	-0.16666666666666663
turn3_bucket_offenders	scale-llama3-4b-base.tsv	ACTION_VIDEO_CAPTURE	nonNR	0.8333333333333334	6	-0.16666666666666663
turn3_bucket_offenders	scale-phi4-4b-base.tsv	ACTION_VIEW_RECENT_APPS	complex_1	1.0	7	-0.09999999999999998
turn3_bucket_offenders	scale-phi4-4b-base.tsv	ACTION_VIEW_RECENT_APPS	nonNR	0.9	10	-0.09999999999999998
turn3_bucket_offenders	scale-phi4-4b-base.tsv	ACTION_NAVIGATE_TO_LOCATION	complex_1	0.8	10	-0.06666666666666676
turn3_bucket_offenders	scale-phi4-4b-base.tsv	ACTION_NAVIGATE_TO_LOCATION	nonNR	0.7333333333333333	15	-0.06666666666666676
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_EDIT_ALARM	complex_1	0.7142857142857143	7	-0.28571428571428575
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_EDIT_ALARM	complex_2	0.42857142857142855	7	-0.28571428571428575
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_EDIT_ALARM	nonNR	0.8571428571428571	7	-0.28571428571428575
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_IMAGE_CAPTURE	complex_1	0.8333333333333334	6	-0.19999999999999996
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_IMAGE_CAPTURE	complex_2	1.0	8	-0.19999999999999996
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_IMAGE_CAPTURE	nonNR	0.8	10	-0.19999999999999996
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_VIDEO_CAPTURE	complex_1	1.0	5	-0.19999999999999996
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_VIDEO_CAPTURE	complex_2	0.8	5	-0.19999999999999996
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_VIDEO_CAPTURE	nonNR	1.0	5	-0.19999999999999996
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	web_search	complex_1	0.25	8	-0.16666666666666669
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	web_search	complex_2	0.08333333333333333	12	-0.16666666666666669
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	web_search	nonNR	0.25	12	-0.16666666666666669
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_NAVIGATE_TO_LOCATION	complex_1	0.3	10	-0.15714285714285714
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_NAVIGATE_TO_LOCATION	complex_2	0.14285714285714285	14	-0.15714285714285714
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_NAVIGATE_TO_LOCATION	nonNR	0.8571428571428571	14	-0.15714285714285714
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_SET_ALARM	complex_1	0.6	5	-0.14545454545454545
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_SET_ALARM	complex_2	0.6	5	-0.14545454545454545
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_SET_ALARM	nonNR	0.45454545454545453	11	-0.14545454545454545
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_EDIT_CONTACT	complex_1	0.125	8	-0.125
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_EDIT_CONTACT	complex_2	0.0	10	-0.125
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	ACTION_EDIT_CONTACT	nonNR	0.9333333333333333	15	-0.125
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	dial	complex_1	0.16666666666666666	6	-0.09523809523809523
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	dial	complex_2	0.07142857142857142	14	-0.09523809523809523
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	dial	nonNR	0.875	16	-0.09523809523809523
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	send_email	complex_1	0.42857142857142855	14	-0.0714285714285714
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	send_email	complex_2	0.35714285714285715	14	-0.0714285714285714
turn4_bucket_offenders	scale-qwen3-4b-base.tsv	send_email	nonNR	0.35714285714285715	14	-0.0714285714285714
turn4_bucket_offenders	scale-llama3-4b-base.tsv	ACTION_NAVIGATE_TO_LOCATION	complex_1	0.5	10	-0.35714285714285715
turn4_bucket_offenders	scale-llama3-4b-base.tsv	ACTION_NAVIGATE_TO_LOCATION	complex_2	0.14285714285714285	14	-0.35714285714285715
turn4_bucket_offenders	scale-llama3-4b-base.tsv	ACTION_NAVIGATE_TO_LOCATION	nonNR	0.7857142857142857	14	-0.35714285714285715
turn4_bucket_offenders	scale-llama3-4b-base.tsv	ACTION_EDIT_ALARM	complex_1	0.5714285714285714	7	-0.2857142857142857
turn4_bucket_offenders	scale-llama3-4b-base.tsv	ACTION_EDIT_ALARM	complex_2	0.2857142857142857	7	-0.2857142857142857
turn4_bucket_offenders	scale-llama3-4b-base.tsv	ACTION_EDIT_ALARM	nonNR	0.8571428571428571	7	-0.2857142857142857
